giocatore,link_a,link_b
Federico Delbonis,https://www.atptour.com/en/players/federico-delbonis/d874/rankings-breakdown,https://www.atptour.com/en/players/federico-delbonis/d874/player-stats
Luca Nardi,https://www.atptour.com/en/players/luca-nardi/n0bg/rankings-breakdown,https://www.atptour.com/en/players/luca-nardi/n0bg/player-stats
Camilo Ugo Carabelli,https://www.atptour.com/en/players/camilo-ugo-carabelli/u182/rankings-breakdown,https://www.atptour.com/en/players/camilo-ugo-carabelli/u182/player-stats
Jelle Sels,https://www.atptour.com/en/players/jelle-sels/so20/rankings-breakdown,https://www.atptour.com/en/players/jelle-sels/so20/player-stats
Elias Ymer,https://www.atptour.com/en/players/elias-ymer/y218/rankings-breakdown,https://www.atptour.com/en/players/elias-ymer/y218/player-stats
Yannick Hanfmann,https://www.atptour.com/en/players/yannick-hanfmann/h997/rankings-breakdown,https://www.atptour.com/en/players/yannick-hanfmann/h997/player-stats
Jack Sock,https://www.atptour.com/en/players/jack-sock/sm25/rankings-breakdown,https://www.atptour.com/en/players/jack-sock/sm25/player-stats
Zizou Bergs,https://www.atptour.com/en/players/zizou-bergs/bu13/rankings-breakdown,https://www.atptour.com/en/players/zizou-bergs/bu13/player-stats
Matteo Arnaldi,https://www.atptour.com/en/players/matteo-arnaldi/a0fc/rankings-breakdown,https://www.atptour.com/en/players/matteo-arnaldi/a0fc/player-stats
Geoffrey Blancaneaux,https://www.atptour.com/en/players/geoffrey-blancaneaux/bu54/rankings-breakdown,https://www.atptour.com/en/players/geoffrey-blancaneaux/bu54/player-stats
Juan Pablo Ficovich,https://www.atptour.com/en/players/juan-pablo-ficovich/fa43/rankings-breakdown,https://www.atptour.com/en/players/juan-pablo-ficovich/fa43/player-stats
Lukas Klein,https://www.atptour.com/en/players/lukas-klein/ki63/rankings-breakdown,https://www.atptour.com/en/players/lukas-klein/ki63/player-stats
Jozef Kovalik,https://www.atptour.com/en/players/jozef-kovalik/kc04/rankings-breakdown,https://www.atptour.com/en/players/jozef-kovalik/kc04/player-stats
Franco Agamenone,https://www.atptour.com/en/players/franco-agamenone/aa27/rankings-breakdown,https://www.atptour.com/en/players/franco-agamenone/aa27/player-stats
Aleksandar Vukic,https://www.atptour.com/en/players/aleksandar-vukic/v832/rankings-breakdown,https://www.atptour.com/en/players/aleksandar-vukic/v832/player-stats
Nicolas Jarry,https://www.atptour.com/en/players/nicolas-jarry/j551/rankings-breakdown,https://www.atptour.com/en/players/nicolas-jarry/j551/player-stats
Hugo Grenier,https://www.atptour.com/en/players/hugo-grenier/gf95/rankings-breakdown,https://www.atptour.com/en/players/hugo-grenier/gf95/player-stats
Gilles Simon,https://www.atptour.com/en/players/gilles-simon/sd32/rankings-breakdown,https://www.atptour.com/en/players/gilles-simon/sd32/player-stats
Ryan Peniston,https://www.atptour.com/en/players/ryan-peniston/ph78/rankings-breakdown,https://www.atptour.com/en/players/ryan-peniston/ph78/player-stats
Borna Gojo,https://www.atptour.com/en/players/borna-gojo/gh92/rankings-breakdown,https://www.atptour.com/en/players/borna-gojo/gh92/player-stats
Timofey Skatov,https://www.atptour.com/en/players/timofey-skatov/s0gr/rankings-breakdown,https://www.atptour.com/en/players/timofey-skatov/s0gr/player-stats
Filip Misolic,https://www.atptour.com/en/players/filip-misolic/m0jz/rankings-breakdown,https://www.atptour.com/en/players/filip-misolic/m0jz/player-stats
Manuel Guinard,https://www.atptour.com/en/players/manuel-guinard/gh33/rankings-breakdown,https://www.atptour.com/en/players/manuel-guinard/gh33/player-stats
Felipe Meligeni Alves,https://www.atptour.com/en/players/felipe-meligeni-alves/mw75/rankings-breakdown,https://www.atptour.com/en/players/felipe-meligeni-alves/mw75/player-stats
John Millman,https://www.atptour.com/en/players/john-millman/mh30/rankings-breakdown,https://www.atptour.com/en/players/john-millman/mh30/player-stats
Stan Wawrinka,https://www.atptour.com/en/players/stan-wawrinka/w367/rankings-breakdown,https://www.atptour.com/en/players/stan-wawrinka/w367/player-stats
